ticker,title,summary,publisher,link,publish_date,type,related_tickers,overall_sentiment_score,overall_sentiment_label
CMSQF,Dore Copper Announces Filing and Mailing of Management Information Circular in Connection with Special Meeting and Encourages Shareholders to Access Meeting Materials Electronically,"TORONTO, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Doré Copper Mining Corp. ( ""Doré Copper"" ) ( TSXV: DCMC. OTCQB: DRCMF. FRA: DCM ) today announced that it has filed and is in the process of mailing the management information circular ( the ""Circular"" ) and related materials for the special meeting ( ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985677/0/en/Dore-Copper-Announces-Filing-and-Mailing-of-Management-Information-Circular-in-Connection-with-Special-Meeting-and-Encourages-Shareholders-to-Access-Meeting-Materials-Electronicall.html,20241121T223000,[],CMSQF,0.282608,Somewhat-Bullish
"DSSMY, DEO, LDNXF","CROWN ROYAL JOINS FORCES WITH NATE SMITH AND SCOTTY HASTING TO SUPPORT VETERANS AS THE AWARD-WINNING WHISKY DONATES $50,000 TO CREATIVETS ON COUNTRY MUSIC'S BIGGEST NIGHT - Diageo  ( NYSE:DEO ) ","Crown Royal Paints Nashville Purple During ""The 58th Annual CMA Awards"" Week from launch of Crown Royal 31 Year Old in Partnership with Daniel Diamond to Generous Moment on CMA Awards Stage",Benzinga,https://www.benzinga.com/pressreleases/24/11/n42126241/crown-royal-joins-forces-with-nate-smith-and-scotty-hasting-to-support-veterans-as-the-award-winni,20241121T222700,"[{'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]","DSSMY, DEO, LDNXF",0.36317,Bullish
"CRYPTO:BTC, CRYPTO:ETH, CRYPTO:DOGE","Why Bitcoin, Ethereum, and Dogecoin Are Surging Higher Today","It's another positive day in the world of cryptocurrencies, with the overall market capitalization of this asset class breaking through a new all-time high. As of 3:30 p.m. ET, the overall crypto market was up 5.1% over the past 24 hours to a total valuation of more than $3.25 ...",Motley Fool,https://www.fool.com/investing/2024/11/21/why-bitcoin-ethereum-and-dogecoin-are-surging-high/,20241121T222343,"[{'topic': 'Blockchain', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.614606'}]","CRYPTO:BTC, CRYPTO:ETH, CRYPTO:DOGE",0.230361,Somewhat-Bullish
"MSTR, CRYPTO:BTC",What's Going On With MicroStrategy Stock After The Bell? - MicroStrategy  ( NASDAQ:MSTR ) ,"MicroStrategy, Inc. MSTR shares are climbing after-hours after the company announced it completed its previously announced offering of its 0% convertible senior notes due 2029.",Benzinga,https://www.benzinga.com/trading-ideas/movers/24/11/42126020/whats-going-on-with-microstrategy-stock-after-the-bell,20241121T222226,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]","MSTR, CRYPTO:BTC",0.192147,Somewhat-Bullish
"NVDA, IONQ",Why IonQ Stock Skyrocketed Today,Why did Nvidia's Q3 report cause big stock gains for IonQ?,Motley Fool,https://www.fool.com/investing/2024/11/21/why-ionq-stock-skyrocketed-today/,20241121T222056,"[{'topic': 'Financial Markets', 'relevance_score': '0.999993'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.983783'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}]","NVDA, IONQ",0.468976,Bullish
"TLRY, ITHUF, CGC, CEJOF","Cannabis Stocks Feel The Burn: Matt Gaetz Bows Out As Trump's Attorney General Nominee - Cansortium  ( OTC:CNTMF ) , Canopy Gwth  ( NASDAQ:CGC ) ","Cannabis stocks reacted with mixed results on Thursday after Matt Gaetz withdrew his nomination for U.S. Attorney General amid allegations of sexual misconduct, drug use, lack of legal experience and more. Last week, President-elect Donald Trump nominated Gaetz who is a long-time supporter of ...",Benzinga,https://www.benzinga.com/24/11/42125955/cannabis-stocks-feel-the-burn-as-gaetz-bows-out-msos-in-focus,20241121T221834,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]","TLRY, ITHUF, CGC, CEJOF",0.067277,Neutral
NXDT,NexPoint Reminds UDF IV Shareholders That Actions Speak Louder Than Words and Urges Them to Vote for New Board Representatives - NexPoint Diversified Real  ( NYSE:NXDT ) ,Vote for NexPoint Nominees to Protect Shareholders' Interests and Maximize Value,Benzinga,https://www.benzinga.com/pressreleases/24/11/n42125890/nexpoint-reminds-udf-iv-shareholders-that-actions-speak-louder-than-words-and-urges-them-to-vote-f,20241121T221400,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}]",NXDT,0.131024,Neutral
CSLI,Avante Announces Timing of Fiscal Second Quarter Investor Webinar,"TORONTO, Ontario, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Avante Corp Inc. ( TSX.V: XX ) ( OTC: ALXXF ) ( ""Avante"" or the ""Company"" ) , a global provider of technology enabled security solutions and services, is pleased to announce that the Company will host an investor webinar to provide a ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985671/36577/en/Avante-Announces-Timing-of-Fiscal-Second-Quarter-Investor-Webinar.html,20241121T220900,"[{'topic': 'Financial Markets', 'relevance_score': '0.158519'}]",CSLI,0.299726,Somewhat-Bullish
"MSFT, NVDA",Nvidia's Stock Was Down Despite Its Amazing Earnings. Here's What History Says Is Coming Next,"It's no secret that Nvidia ( NASDAQ: NVDA ) is one of the hottest artificial intelligence ( AI ) stocks in the market. The chip-making juggernaut just reported an incredible Q3, beating Wall Street's sky-high expectations. So why was the stock trading lower on Thursday when the market ...",Motley Fool,https://www.fool.com/investing/2024/11/21/nvidias-stock-was-down-despite-its-amazing-earning/,20241121T220642,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.857896'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","MSFT, NVDA",0.163566,Somewhat-Bullish
"NOA, ATHOF",North American Construction Group Ltd. Announces Award of Heavy Civil Construction Project - North American  ( NYSE:NOA ) ,"ACHESON, Alberta, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- North American Construction Group Ltd. ( ""NACG"" or ""the Company"" ) NOANOA today announced that Mikisew North American Limited Partnership ( ""MNALP"" ) has been awarded a heavy civil construction contract by a major producer in the oil sands ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42125672/north-american-construction-group-ltd-announces-award-of-heavy-civil-construction-project,20241121T220544,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}]","NOA, ATHOF",0.245523,Somewhat-Bullish
"NOA, ATHOF",North American Construction Group Ltd. Announces Award of Heavy Civil Construction Project,"ACHESON, Alberta, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- North American Construction Group Ltd. ( ""NACG"" or ""the Company"" ) ( TSX:NOA.TO/NYSE:NOA ) today announced that Mikisew North American Limited Partnership ( ""MNALP"" ) has been awarded a heavy civil construction contract by a major producer in ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985670/0/en/North-American-Construction-Group-Ltd-Announces-Award-of-Heavy-Civil-Construction-Project.html,20241121T220500,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}]","NOA, ATHOF",0.245527,Somewhat-Bullish
"MSTR, GOOG, COIN, CRYPTO:BTC, CRYPTO:ETH, CRYPTO:ADA","Bitcoin, Ethereum, Dogecoin Prepping For An Early Thanksgiving: 'BTC Is Currently  ( Less Than )  One ETH Away From $100,000,' Says Trader","Cryptocurrency markets are trading higher, with Bitcoin approaching $100,000, Solana ETF talks picking up steam and XRP gaining on Gary Gensler announcing his resignation on Donald Trump's inauguration day. IntoTheBlock data shows large transaction volume increasing by 8.5% and daily active ...",Benzinga,https://www.benzinga.com/markets/cryptocurrency/24/11/42125642/bitcoin-ethereum-dogecoin-prepping-for-an-early-thanksgiving-btc-is-currently-less-than-on,20241121T220417,"[{'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]","MSTR, GOOG, COIN, CRYPTO:BTC, CRYPTO:ETH, CRYPTO:ADA",0.121397,Neutral
CRYPTO:UNI,Crypto Industry Bids Farewell to Gary Gensler-Exactly Like You'd Expect,"SEC Chair Gary Gensler's resignation announcement was met with a sigh of relief on Crypto Twitter, alongside a slew of mocking memes.",Decrypt.co,https://decrypt.co/292941/crypto-industry-bids-farewell-gary-gensler,20241121T220217,"[{'topic': 'Financial Markets', 'relevance_score': '0.310843'}]",CRYPTO:UNI,0.158184,Somewhat-Bullish
,Denmark Moves Toward Permanent Medical Cannabis Program,"Denmark is poised to cement its place as a leader in medical cannabis regulation. On November 19, Minister of the Interior and Health Sophie Løhde proposed making the country's medical cannabis trial scheme permanent, a bold move following years of steady growth in patient participation.",Benzinga,https://www.benzinga.com/government/regulations/24/11/42125563/denmark-moves-toward-permanent-medical-cannabis-program,20241121T220058,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",,0.310074,Somewhat-Bullish
MALRF,Revival Gold Announces AGM Results and Transition in Exploration Leadership,"TORONTO, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Revival Gold Inc. ( TSXV: RVG, OTCQX: RVLGF ) ( ""Revival Gold"" or the ""Company"" ) , is pleased to announce voting results for the election of directors at its Annual General Meeting ( ""AGM"" ) of Shareholders held on November 21st, 2024, in Toronto.",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985669/0/en/Revival-Gold-Announces-AGM-Results-and-Transition-in-Exploration-Leadership.html,20241121T220000,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}]",MALRF,0.278305,Somewhat-Bullish
TBCRF,Timbercreek Financial Declares November 2024 Dividend,"TORONTO, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Timbercreek Financial TF ( the ""Company"" ) is pleased to announce that it has declared a monthly cash dividend of $0.0575 per common share ( ""Common Share"" ) of the Company to be paid on December 13, 2024 to holders of Common Shares of record on ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42125516/timbercreek-financial-declares-november-2024-dividend,20241121T220000,"[{'topic': 'Mergers & Acquisitions', 'relevance_score': '0.108179'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",TBCRF,0.319954,Somewhat-Bullish
TBCRF,Timbercreek Financial Declares November 2024 Dividend,"TORONTO, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Timbercreek Financial ( TSX: TF ) ( the ""Company"" ) is pleased to announce that it has declared a monthly cash dividend of $0.0575 per common share ( ""Common Share"" ) of the Company to be paid on December 13, 2024 to holders of Common Shares of record ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985665/0/en/Timbercreek-Financial-Declares-November-2024-Dividend.html,20241121T220000,"[{'topic': 'Mergers & Acquisitions', 'relevance_score': '0.108179'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",TBCRF,0.327775,Somewhat-Bullish
,Inventronics Announces 2024 Q3 Financial Results,"CALGARY, Alberta, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Inventronics Limited ( ""Inventronics"" or the ""Corporation"" ) ( IVX:TSX Venture ) , a designer and manufacturer of enclosures for the telecommunications, cable, power distribution, energy and other industries in North America, today announced ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985668/0/en/Inventronics-Announces-2024-Q3-Financial-Results.html,20241121T220000,"[{'topic': 'Earnings', 'relevance_score': '0.938793'}]",,0.093332,Neutral
NVDA,NVIDIA Announces Upcoming Events for Financial Community - NVIDIA  ( NASDAQ:NVDA ) ,"SANTA CLARA, Calif., Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- NVIDIA will present at the following events for the financial community: UBS Global Technology and AI Conference Tuesday, Dec. 3, 6:35 a.m. Pacific time J.P. Morgan Healthcare Conference Monday, Jan. 13, 9:45 a.m. Pacific time",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42125515/nvidia-announces-upcoming-events-for-financial-community,20241121T220000,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",NVDA,0.232448,Somewhat-Bullish
