ticker,title,publisher,link,publish_date,summary,type,related_tickers,category
GOOGL,"IBD 50 Stock In Huge Demand — With Ties To Shopify, Google And Meta",Investor's Business Daily,https://finance.yahoo.com/m/aed87e43-725f-39b2-8531-1c08e0b941e7/ibd-50-stock-in-huge-demand-%E2%80%94.html,2025-01-23 13:37:35,No summary available.,STORY,"META, GLBE, GOOG, CRM, SHOP",Tech
GOOGL,Is Alphabet Inc. (GOOGL) the Best Socially Responsible Stock to Buy According to Hedge Funds?,Insider Monkey,https://finance.yahoo.com/news/alphabet-inc-googl-best-socially-202310113.html,2025-01-23 13:23:10,No summary available.,STORY,GOOG,Tech
GOOGL,"Epic Games Takes on Google, Apple With Third-Party Games on Company's Own App Marketplace",MT Newswires,https://finance.yahoo.com/news/epic-games-takes-google-apple-194817735.html,2025-01-23 12:48:17,No summary available.,STORY,"GOOG, AAPL",Tech
GOOGL,"India Urges Apple, Google to Host Government App Suite Amid Resistance",GuruFocus.com,https://finance.yahoo.com/news/india-urges-apple-google-host-185435371.html,2025-01-23 11:54:35,No summary available.,STORY,"GOOG, AAPL",Tech
GOOGL,"Apple 2025 Outlook: AI Gets IQ Boost, Possible Smart Home Products",Investor's Business Daily,https://finance.yahoo.com/m/0df94b1f-418c-3bdb-9d48-4ec50838622f/apple-2025-outlook%3A-ai-gets.html,2025-01-23 11:46:55,No summary available.,STORY,"AMZN, AAPL, META, GOOG",Tech
GOOGL,Researchers just stumped AI with their most difficult test — but for how long?,Quartz,https://finance.yahoo.com/m/d30567e5-9a57-37bc-a44c-fc2bda988228/researchers-just-stumped-ai.html,2025-01-23 11:43:07,No summary available.,STORY,GOOG,Tech
MSFT,Tevogen Bio Highlights the Future of AI-Driven Drug Development in Fireside Chat with Microsoft During the J.P. Morgan Healthcare Conference,GlobeNewswire,https://finance.yahoo.com/news/tevogen-bio-highlights-future-ai-005300691.html,2025-01-23 17:53:00,No summary available.,STORY,"TVGN, TVGNW, MSFT",Tech
MSFT,Trump opens a divide between US and EU over Big Tech,Yahoo Finance,https://finance.yahoo.com/news/trump-opens-a-divide-between-us-and-eu-over-big-tech-213413056.html,2025-01-23 14:34:13,No summary available.,STORY,"GOOG, META, MSFT, AAPL, AMZN",Tech
MSFT,Sector Update: Tech Stocks Edge Lower Late Afternoon,MT Newswires,https://finance.yahoo.com/news/sector-tech-stocks-edge-lower-205709720.html,2025-01-23 13:57:09,No summary available.,STORY,"EBAY, MSFT",Tech
MSFT,Sector Update: Tech,MT Newswires,https://finance.yahoo.com/news/sector-tech-204124549.html,2025-01-23 13:41:24,No summary available.,STORY,"EBAY, MSFT",Tech
MSFT,HP stockpiling computers ahead of potential Trump tariffs: CEO,Yahoo Finance,https://finance.yahoo.com/news/hp-stockpiling-computers-ahead-of-potential-trump-tariffs-ceo-203002131.html,2025-01-23 13:30:02,No summary available.,STORY,"MSFT, AMD, NVDA, BBY, DELL, HPQ, INTC",Tech
MSFT,Is Microsoft Corporation (MSFT) Among Billionaire Dan Loeb’s Top Stock Picks?,Insider Monkey,https://finance.yahoo.com/news/microsoft-corporation-msft-among-billionaire-195046386.html,2025-01-23 12:50:46,No summary available.,STORY,"MSFT, TPNTF",Tech
MSFT,Microsoft Stock Approaches This Early Entry Point; Is MSFT A Buy In January?,Investor's Business Daily,https://finance.yahoo.com/m/5dd00a9b-8305-3862-b01d-ed9edac80eb4/microsoft-stock-approaches.html,2025-01-23 12:50:01,No summary available.,STORY,MSFT,Tech
MSFT,Market Chatter: Microsoft to Train 1 Million South Africans on AI & Cybersecurity by 2026,MT Newswires,https://finance.yahoo.com/news/market-chatter-microsoft-train-1-193338908.html,2025-01-23 12:33:38,No summary available.,STORY,MSFT,Tech
